,train,val,test
mae,0.16365631937909447,0.18498121288000002,0.22109199366386556
mse,0.056314994591775636,0.08542380563707556,0.10901133751330283
rmse,0.23730780558543715,0.2922735116925165,0.33016865010673385
r2,0.8701801901788753,0.828683031395036,0.8136790837085557
pearsonr,0.9330317602125249,0.910428976948249,0.9072780954362598
spearmanr,0.8923913670849404,0.8734845948102827,0.7732444093815787
p_value,0.0,5.427745460886811e-74,9.402935554176188e-91
max_ae,1.5934502,1.7766773000000002,1.7157114999999998
