,train,val,test
mae,0.22618706183963258,0.22589709746315795,0.2787020769789916
mse,0.1079273517840031,0.13207612341296296,0.22290375115631075
rmse,0.3285229851684705,0.3634227887914611,0.4721268379962219
r2,0.7512011075440443,0.7351220667417394,0.6190154885937829
pearsonr,0.8685627032656968,0.8620363829412708,0.7931907405463594
spearmanr,0.8661139255601618,0.8645747630560963,0.7635009621047607
p_value,6.432736508981985e-234,2.2117110872233092e-57,9.544658852386266e-53
max_ae,2.5355947,2.6523730000000003,3.2467501499999996
