,train,val,test
mae,0.16654910231471748,0.18143814867643981,0.22075140253361344
mse,0.06081836805008065,0.07070380810930023,0.15047210980577247
rmse,0.24661380344595607,0.2659018768442604,0.3879073469345128
r2,0.8634234691065559,0.8437408015475253,0.7428148116071225
pearsonr,0.9294333402091137,0.9199416982917749,0.8671668730467541
spearmanr,0.8743174628343857,0.8989287663109575,0.759128451592623
p_value,0.0,8.74147077740302e-79,2.1187808702858852e-73
max_ae,1.55739547,1.2729609499999999,2.7899268999999993
