,train,val,test
mae,0.12018414931767411,0.15616907006806285,0.1926402148991597
mse,0.03442651794874058,0.07266423262173292,0.10030039308519482
rmse,0.1855438437371086,0.2695630401626546,0.31670237303372833
r2,0.9226902243034842,0.8394081584957429,0.8285677290974894
pearsonr,0.9617902829926741,0.9163076956482943,0.9129018795698682
spearmanr,0.9150451297687245,0.9078455502039349,0.8003928789056836
p_value,0.0,4.868641652894576e-77,8.222618369928206e-94
max_ae,1.4212336999999997,1.9222147299999999,1.9832615000000002
