,train,val,test
mae,0.21442295513613668,0.21799777717277485,0.25821984368201684
mse,0.0921727360478058,0.09212506706572873,0.1800726236086799
rmse,0.3035996311720517,0.303521114695055,0.4243496478243854
r2,0.7919705702555159,0.7998530302765716,0.6922219560357262
pearsonr,0.8902645365520996,0.8955378225551932,0.8363137188177778
spearmanr,0.8498816099061198,0.8476567932720257,0.7522632139230006
p_value,1.8366091279459411e-261,2.227617424284752e-68,1.5525837150491167e-63
max_ae,1.8794273000000001,1.5859576,2.9954873999999996
