,train,test
mae,0.146891519713818,0.19717967346515974
mse,0.042029886418464356,0.11228175430743505
rmse,0.20501191774739427,0.33508469721465206
r2,0.8689511182570256,0.7107269550343297
pearsonr,0.9323410288011351,0.8484003706973906
spearmanr,0.8673422188494978,0.7769247622546257
p_value,0.0,2.0592142868437765e-121
max_ae,0.8997925438702943,2.8325289733632646
