,train,val,test
mae,0.1476949549149803,0.16524267608900525,0.21215004319747902
mse,0.04575420523057779,0.05879669223812873,0.11587726595428906
rmse,0.21390232637953657,0.24248029247369512,0.34040749985023694
r2,0.8967349605680304,0.87226082806728,0.801943918289088
pearsonr,0.9470132768280182,0.9342396892788947,0.8974390817868951
spearmanr,0.9001372615533471,0.9044365062175096,0.7812416122586089
p_value,0.0,1.4626908311268218e-86,7.607619227924976e-86
max_ae,1.2833180499999997,1.2271866999999999,2.3855568
