,train,val,test
mae,0.1781499532057819,0.20955115590052356,0.27091283570588237
mse,0.06816704065368782,0.08784843699667569,0.20732216865799766
rmse,0.2610881855881032,0.29639237000414786,0.45532644186121857
r2,0.8461502695634333,0.809144253352028,0.6456473490459321
pearsonr,0.9200184167200187,0.8998653201637687,0.8101911041815442
spearmanr,0.8385699993225892,0.8369859998437349,0.6820194980146327
p_value,4.97596340736e-311,5.0462315391851617e-70,1.1437292638660999e-56
max_ae,1.8175804699999998,1.4445764999999997,3.2865518699999994
