,train,val,test
mae,0.21523290023490815,0.21924501621578946,0.2728824677394958
mse,0.09209978247905111,0.10531976111214655,0.1602803350004008
rmse,0.30347945973171087,0.32453006195443057,0.4003502653931939
r2,0.7960035412867801,0.7511839314277653,0.7260507066328764
pearsonr,0.8931348771075233,0.8677479711335128,0.857079493622533
spearmanr,0.832307551616674,0.8004344515317977,0.7066360689544924
p_value,6.266087164603737e-266,5.5065718088487465e-59,6.375303283406238e-70
max_ae,1.9489180000000004,1.49655236,2.3126596999999993
