,train,val,test
mae,0.23149393454146983,0.23573284790210525,0.29604643601050423
mse,0.11738881477259465,0.12948691346381727,0.23782996225559017
rmse,0.34262051131331095,0.35984290108854067,0.4876781338706813
r2,0.7399895867115825,0.6940894624199407,0.593503781351058
pearsonr,0.8604346257243145,0.8337865561838024,0.7742981019591153
spearmanr,0.862524846103648,0.8486210882552273,0.7211041244544428
p_value,9.89624108211321e-225,2.1859280489931754e-50,8.456635616979056e-49
max_ae,2.5791848,1.6326575,3.2819206499999996
