,train,test
mae,0.17075741913792944,0.1890948074784139
mse,0.06227779736618036,0.10112334203313812
rmse,0.2495551990365666,0.3179989654592262
r2,0.8058182784270373,0.739474527740846
pearsonr,0.8985268822297641,0.8606903692790319
spearmanr,0.8441158113153052,0.8019128259009881
p_value,1.3818924725561093e-277,9.960580139945563e-129
max_ae,1.5501246208753579,2.139177466233376
