,train,val,test
mae,0.18476506896758532,0.1805994961105263,0.23315713021848736
mse,0.07194725192189581,0.06071454288330889,0.1304601313098149
rmse,0.2682298490509507,0.24640321199876614,0.36119265124004796
r2,0.8435106682839075,0.845886402245671,0.7770190536174224
pearsonr,0.9195869346108896,0.9203042327936586,0.886549026784601
spearmanr,0.8901187635268533,0.8182109066394947,0.7656131032408794
p_value,1.38282392897595e-310,1.484697149092212e-78,5.794709818954657e-81
max_ae,1.5354675000000002,0.7970292000000001,2.1358606999999994
