,train,val,test
mae,0.1742781177569029,0.1966746985631579,0.2472543931806723
mse,0.06745930301704747,0.09663632467347695,0.1722849211194906
rmse,0.25972928794621425,0.31086383622653335,0.41507218784145317
r2,0.8444898387752362,0.8061963866311316,0.7055326069890167
pearsonr,0.9195282374759298,0.8991861731429673,0.8403819386863132
spearmanr,0.8759694290780697,0.831456855434045,0.7530862590148201
p_value,1.8037170376071e-310,2.1190079507564024e-69,1.0294632680822737e-64
max_ae,1.6135727999999998,2.0767733,3.2665254999999997
