,train,test
mae,0.1283160190157945,0.17256662829707092
mse,0.03236358892987814,0.10469250499415753
rmse,0.17989882970680532,0.323562211937917
r2,0.8990905638853546,0.7302792435730744
pearsonr,0.9496115933609074,0.8620124589686841
spearmanr,0.8833274002608082,0.8613509860474025
p_value,0.0,1.4782195163505088e-129
max_ae,1.1402507522029923,3.205671331213025
