,train,test
mae,0.1766121263291492,0.22145168199895726
mse,0.061260194815982404,0.13649878790425227
rmse,0.24750796919691778,0.36945742366915874
r2,0.8089911558156295,0.6483362746268418
pearsonr,0.8995985779235236,0.8078460490096994
spearmanr,0.8303888053836497,0.7599919849357895
p_value,2.8775768895127385e-279,3.098931990808513e-101
max_ae,1.379968944906583,2.6458425312130247
