,train,val,test
mae,0.11863195012073491,0.14773656732684212,0.2081888959663865
mse,0.033441412405736726,0.04549698856625544,0.12099660895640904
rmse,0.18286993302819554,0.21330023105063772,0.34784566830191954
r2,0.927263041475204,0.8845135899580199,0.7931939964853234
pearsonr,0.9635289021063638,0.9421461865400497,0.8928516184148053
spearmanr,0.9304024777888983,0.8073465291523108,0.7976486533832028
p_value,0.0,3.52844825114038e-91,1.0042450068079739e-83
max_ae,1.40357597,0.765577,1.9763296000000001
