,train,test
mae,0.15737602460535235,0.18187540958190693
mse,0.049818295373972615,0.0787609531744726
rmse,0.2232001240456031,0.2806438190562418
r2,0.8446669154872573,0.7970870611195144
pearsonr,0.9264828214549757,0.8975699385909954
spearmanr,0.8643447935743273,0.8316931933241559
p_value,0.0,9.412088577566616e-156
max_ae,1.1227658655139825,1.791537231213025
