,train,val,test
mae,0.23884968722178476,0.23952704348631582,0.2991906227571429
mse,0.13810965541569836,0.12479860560118214,0.24181081708965296
rmse,0.37163107434080156,0.3532684610904038,0.4917426329795424
r2,0.6940939504899055,0.7051655066334765,0.5866997503463444
pearsonr,0.8334114653815876,0.8400749499520889,0.7696784933124334
spearmanr,0.8548004802733796,0.8580816962713341,0.7266967358841995
p_value,6.3708886294402095e-198,7.974553268587642e-52,6.830841117503372e-48
max_ae,2.8925495000000003,1.6800276,3.2106120299999996
