,Loss_Source0_Training,Loss_Source0_Test,Loss_Source_Training,Loss_Source_Test,Loss_Target_Training,Loss_Target_Validation,Loss_Target_Test,Loss_Training,Loss_Test
main_0_0,0.7166627645492554,0.7358033657073975,1.03518807888031,3.5954906940460205,1.286492109298706,1.0242908000946045,1.5392738580703735,1.0088053941726685,3.097304105758667
main_0_1,0.6058545708656311,0.7225770354270935,2.304189920425415,1.526086449623108,1.2298376560211182,0.9532971978187561,1.3237248659133911,2.017219066619873,1.4088550806045532
main_0_2,0.6507551074028015,0.7027784585952759,1.0741251707077026,2.259443759918213,0.8551770448684692,1.0816118717193604,1.3922922611236572,1.0055491924285889,2.0035364627838135
main_0_3,0.7013595104217529,0.6937813758850098,2.2912490367889404,1.3048017024993896,1.2265088558197021,0.9385830163955688,1.2943059206008911,2.0190277099609375,1.2243434190750122
main_0_4,0.6714945435523987,0.6960757970809937,1.0290354490280151,1.195111632347107,0.8463315367698669,0.896865963935852,1.2867112159729004,0.9712555408477783,1.135469675064087
main_0_5,0.6645355224609375,0.7049856185913086,0.37656688690185547,1.2416038513183594,0.9953286051750183,0.8906510472297668,1.3103183507919312,0.4516824781894684,1.1756653785705566
main_0_6,0.6659146547317505,0.7172739505767822,1.1527296304702759,1.2537589073181152,1.0426753759384155,0.8985933661460876,1.3324944972991943,1.0824640989303589,1.188444972038269
main_0_7,0.6800786852836609,0.7210589647293091,1.3754918575286865,1.2046717405319214,0.8550624847412109,0.9064651131629944,1.3324335813522339,1.2531074285507202,1.1492359638214111
main_0_8,0.6609145998954773,0.7248042821884155,1.0974713563919067,1.2569799423217773,1.0336936712265015,0.9209202527999878,1.341112732887268,1.0365757942199707,1.1925561428070068
main_0_9,0.685452938079834,0.7275241613388062,1.5214663743972778,1.3975260257720947,1.1641871929168701,0.9557791352272034,1.3754606246948242,1.3906008005142212,1.3086614608764648
main_0_10,0.6285720467567444,0.7276250720024109,1.360033392906189,1.3954217433929443,1.2918591499328613,0.9561962485313416,1.3681421279907227,1.260345697402954,1.30652916431427
main_0_11,0.7038365602493286,0.7183362245559692,1.4532355070114136,1.2348682880401611,0.962742030620575,0.9221600294113159,1.326560616493225,1.3256125450134277,1.1729462146759033
main_0_12,0.6715221405029297,0.7087218165397644,0.5119423270225525,1.220792531967163,0.93819659948349,0.8970478773117065,1.2956994771957397,0.5586198568344116,1.1584360599517822
main_0_13,0.6822528839111328,0.7009323239326477,0.5298529267311096,1.3046574592590332,0.8566423058509827,0.8852496147155762,1.275307297706604,0.5695650577545166,1.2240097522735596
main_0_14,0.6564868092536926,0.6946268081665039,1.181713581085205,1.2397764921188354,1.0466530323028564,0.8854819536209106,1.2618004083633423,1.104914665222168,1.1698940992355347
main_0_15,0.6638237833976746,0.6901738047599792,0.8389934301376343,1.168299913406372,0.9570204615592957,0.8845043182373047,1.2539875507354736,0.8232619762420654,1.111031174659729
main_0_16,0.6402626633644104,0.6862971186637878,1.5000914335250854,1.234833836555481,0.9308775067329407,0.878385066986084,1.2491151094436646,1.3532719612121582,1.1640396118164062
main_0_17,0.6347111463546753,0.6844956278800964,0.5866107940673828,1.2472606897354126,1.0322601795196533,0.8751716017723083,1.2449440956115723,0.6199002861976624,1.1736018657684326
main_0_18,0.6574562788009644,0.6834015250205994,1.6085089445114136,1.1993157863616943,0.9088711142539978,0.8687474727630615,1.2386631965637207,1.441868543624878,1.1343023777008057
main_0_19,0.624487042427063,0.6826561689376831,0.7921071648597717,1.1424821615219116,1.0509543418884277,0.8621275424957275,1.2255184650421143,0.7858954071998596,1.087443470954895
main_1_0,0.6781336665153503,0.6828685998916626,0.5917208194732666,1.0831066370010376,0.7482991814613342,0.8579990267753601,1.205366611480713,0.6124980449676514,1.0382293462753296
main_1_1,0.638742983341217,0.6838229894638062,0.8411399722099304,1.0816807746887207,1.2605063915252686,0.888667106628418,1.2052509784698486,0.8401123285293579,1.037193775177002
