,train,val,test
mae,0.21659315779133856,0.2203834175789474,0.2459233164705882
mse,0.09997563813053538,0.10970090969332007,0.1440621052598278
rmse,0.31618924417275074,0.33121127651896165,0.37955514126385875
r2,0.7785589109196591,0.7408335455715188,0.753770717182421
pearsonr,0.8890516707888392,0.8635380347287799,0.8781057996600315
spearmanr,0.7720777293458021,0.7471395763946407,0.7042261359490243
p_value,4.274268804319648e-260,8.513635237499812e-58,1.644002319843052e-77
max_ae,1.9619256000000003,1.9019780599999998,2.0170703100000003
