,train,test
mae,0.2984375054072152,0.32205198273171565
mse,0.211418575233903,0.27635343238949944
rmse,0.4598027568794069,0.525693287373445
r2,0.3407984121526403,0.2880268092789192
pearsonr,0.6000163772775425,0.558647056365938
spearmanr,0.6018134675903882,0.5514494091275581
p_value,1.1312320534764134e-76,5.51993556572095e-37
max_ae,3.1518735055139824,3.460037927049196
