,train,val,test
mae,0.12527814766916012,0.18365559682631577,0.21838560142436975
mse,0.03437119846751584,0.07763714921116036,0.13412597834367826
rmse,0.18539470992322257,0.27863443651343667,0.36623213723494863
r2,0.9238694969697965,0.8165836113005671,0.7707534302986521
pearsonr,0.9629529002962355,0.9040699097083758,0.8825798803374385
spearmanr,0.9063933897450924,0.8185464330148253,0.7809206736370827
p_value,0.0,2.5206939362498705e-71,2.6258722102218707e-79
max_ae,1.1768075,1.7310020999999998,2.3621376300000003
