,train,test
mae,0.07164013724693925,0.12806499547781247
mse,0.009239840221178084,0.05176108611718935
rmse,0.096124087622084,0.22751062858070906
r2,0.9711902450457922,0.8666471940681268
pearsonr,0.9859346921039377,0.9328008093198632
spearmanr,0.9592965317307144,0.9084004405349394
p_value,0.0,1.3837423949750573e-193
max_ae,0.4359256608807958,1.5002638721449921
