,train,val,test
mae,0.1449890676238502,0.17207619711675393,0.21502636772689077
mse,0.04667942545891337,0.06693016324612033,0.1353427034963334
rmse,0.21605421879452705,0.2587086454800464,0.3678895262117874
r2,0.8946467830359142,0.8545903977768855,0.768673817751105
pearsonr,0.9463793431904651,0.925410696529116,0.8788152589856473
spearmanr,0.8927423689072158,0.8845012147098427,0.7555691933156146
p_value,0.0,1.4184474526746275e-81,8.62518054888483e-78
max_ae,1.6448800699999997,1.4728934999999996,2.6191457999999996
