,train,val,test
mae,0.16780285317834645,0.17221263463157896,0.2532701355210084
mse,0.05906110030630465,0.0583017175444921,0.16998648072989847
rmse,0.24302489647421854,0.24145748599803674,0.41229416771268845
r2,0.8715387749988829,0.8520109512591182,0.7094610746988805
pearsonr,0.9342496945548828,0.9230950613157302,0.8435279038982715
spearmanr,0.9000878318442197,0.8274303594527713,0.7677448300903783
p_value,0.0,5.948531129564748e-80,1.1978668830191722e-65
max_ae,1.4518468999999998,0.9656646,2.6448414999999996
