,train,val,test
mae,0.25938511654822605,0.2781846173481675,0.30982356715000003
mse,0.12845273375525637,0.13547887508153564,0.2487036162583221
rmse,0.358403032569838,0.36807455098326974,0.4987019312759096
r2,0.711540619675525,0.7005844381853163,0.5749186577901446
pearsonr,0.8468615352993342,0.8430485270718162,0.7602210290525055
spearmanr,0.8328177696305913,0.8456468057683166,0.7322185716678774
p_value,2.42637071075082e-210,8.499946468368081e-53,4.240338648838838e-46
max_ae,2.3232187000000004,1.6689205,3.2469251999999997
