,train,val,test
mae,0.20093888353307085,0.2174416815984211,0.2569908163361345
mse,0.07838650996431099,0.09922640619168112,0.14985967911990694
rmse,0.279975909614222,0.31500223204237954,0.38711713875764653
r2,0.8192999592759493,0.8010019925061068,0.7438615710466306
pearsonr,0.9074287605489464,0.8959248789203419,0.8662734849923561
spearmanr,0.8632079687238019,0.8348575345413234,0.7685340453136319
p_value,2.1613731777170098e-288,3.607851440366783e-68,4.4209550484490366e-73
max_ae,1.6731276,1.7868985000000004,2.4946003999999995
