,train,test
mae,0.12690573247669917,0.14395483975051146
mse,0.032096632190454645,0.05102063001237855
rmse,0.17915532978523036,0.22587746680972529
r2,0.8999229330672953,0.8685548414274259
pearsonr,0.956150076177295,0.939472215728165
spearmanr,0.9037259895414307,0.8932041136656477
p_value,0.0,4.49584198366912e-203
max_ae,0.8174231309063447,1.7878430762333761
