,train,val,test
mae,0.23146412155958004,0.2293866872157895,0.30342518061554624
mse,0.10171242153486205,0.1185876271528366,0.2446434577476415
rmse,0.3189238491158384,0.3443655429232672,0.49461445363802453
r2,0.7747120216600116,0.7198388331126228,0.5818582337210079
pearsonr,0.8801776300136496,0.8497419921149668,0.7628240482983368
spearmanr,0.8335599931401177,0.8451575643847106,0.7103577996265867
p_value,3.602743845872293e-248,3.675416943246773e-54,1.3876922061549668e-46
max_ae,2.0545691999999995,1.7741123499999998,3.47136525
