,train,val,test
mae,0.14809306088817348,0.1880943467036649,0.23488687099831937
mse,0.047991274471799156,0.09480845607939095,0.16966215176665153
rmse,0.21906910889442893,0.3079098180951542,0.41190065764289757
r2,0.8922285817482611,0.7904682399768281,0.7100154140088137
pearsonr,0.9454742001401693,0.8899706868418803,0.8448717377020332
spearmanr,0.9006733564623567,0.879214354790962,0.7901041475631658
p_value,0.0,2.2946263198802688e-66,4.710240435560481e-66
max_ae,1.3268946499999998,2.1545554,3.2029449999999997
