,train,val,test
mae,0.15777264203810776,0.20134350592670155,0.23285435105042016
mse,0.053384991175058266,0.08317352557544026,0.11790782160413653
rmse,0.2310519231148234,0.2883982066092649,0.34337708369100073
r2,0.8795126438982814,0.8193007654120751,0.7984733160756788
pearsonr,0.9378933820634043,0.9053073880820488,0.8951860276285568
spearmanr,0.8599032825475943,0.8400181896315659,0.743758117887633
p_value,0.0,3.345091019651627e-72,8.610744067730431e-85
max_ae,1.5009103499999998,1.50893573,1.6045270000000003
