,train,val,test
mae,0.25519901846239157,0.23757741490732986,0.2938437289159664
mse,0.13913394785348027,0.15832103949586943,0.26481470988150285
rmse,0.37300663245240057,0.3978957646116247,0.5146015059067578
r2,0.6859813750668486,0.656038499532887,0.5473817630523661
pearsonr,0.8297508670557454,0.8124499223236096,0.7408788289038055
spearmanr,0.8482201423886564,0.8839009771971706,0.7391016145314819
p_value,2.0746407289526286e-194,3.697373378214946e-46,1.1164001920828745e-42
max_ae,3.0435329000000007,2.7048597,3.3436712999999996
