,train,val,test
mae,0.14119550290341207,0.16862707778157895,0.18430533010840336
mse,0.04344390124678956,0.06542008042334406,0.09260727118172328
rmse,0.2084320062917151,0.25577349437215746,0.30431442815240173
r2,0.8998512023550899,0.8688003914080368,0.841716724008424
pearsonr,0.9486768359077203,0.9323500487614816,0.9226613171511102
spearmanr,0.9000822392495141,0.8641171980514382,0.8068508227629669
p_value,0.0,5.389777628772322e-85,1.2050681730851815e-99
max_ae,1.6045561,1.3813467000000001,1.8833685999999998
