,train,val,test
mae,0.12610052952790027,0.1463751538263158,0.1945410320042017
mse,0.03591092101519023,0.04230949133094215,0.13141517404285474
rmse,0.18950177048035785,0.20569271093294034,0.36251230881565216
r2,0.9218917209363732,0.892604512551479,0.7753867056325556
pearsonr,0.9605082030121581,0.9463537361041596,0.8822777600906244
spearmanr,0.9282202192759881,0.8401356526388385,0.8078136386275455
p_value,0.0,3.5605900408584755e-94,3.4904677615384934e-79
max_ae,1.1565379999999998,0.6872873700000001,2.7179236999999996
