,train,test
mae,0.15409132275494317,0.20172220561229448
mse,0.04723311613171219,0.11913193151322712
rmse,0.21733181113613392,0.34515493841639744
r2,0.8527274856594037,0.6930787482433294
pearsonr,0.9235571059630077,0.8432497285358664
spearmanr,0.8395775781030163,0.7902603024218777
p_value,9e-323,1.544403288463646e-118
max_ae,1.2464893655139822,3.212292085306555
